bu_code,a_inw
BU00801008,2340
BU00801101,1755
BU00801102,3600
BU00801103,7065
BU00801104,2730
BU00801105,2190
BU00801106,3135
BU00801107,675
BU00801108,3630
BU00801109,890
BU00802001,3800
BU00802002,4080
BU00802003,3940
BU00802004,4725
BU00802005,1110
BU00802006,1600
BU00802007,3660
BU00802008,2610
BU00802009,4875
BU00803001,1920
BU00803002,2890
BU00803003,1870
BU00803004,2910
BU00803005,3470
BU00803006,2750
BU00803007,120
BU00803101,11325
BU00803102,105
BU00803201,7300
BU00803202,1515
BU00803203,2100
BU00804001,5355
BU00804002,3870
BU00804003,6120
BU00804004,7120
BU00804101,15220
BU00804102,80
BU00804103,15
BU00804104,30
BU00804109,90
BU00804110,5
BU00805001,3620
BU00805002,3720
BU00805003,10
BU00805101,4085
BU00805102,7220
BU00805103,5230
BU00805105,390
BU00806001,12370
BU00806002,1170
BU00806003,470
BU00806101,6300
BU00806102,2890
BU00806201,405
BU00806202,400
BU00806203,55
BU00806204,1100
BU00806205,570
BU00806206,260
BU00806207,730
BU00806208,120
BU00806209,890
BU00806210,65
BU00806301,14500
BU00806302,1160
BU00806303,330
BU00806304,90
BU00806305,1140
BU00806306,90
BU00806307,720
BU00807001,11085
BU00807002,5895
BU00807003,3300
BU00807004,330
BU00807101,10080
BU00807201,620
BU00807202,560
BU00807203,22280
BU00807301,5805
BU00807302,2970
BU00807303,90
BU00807304,20
BU00807305,2550
BU00807401,195
BU00807402,120
BU00807404,30
BU00807405,40
BU00808001,3165
BU00808002,100
BU00808003,330
BU00808004,5340
BU00808005,500
BU00808006,150
BU00808007,4770
BU00808008,665
BU00808101,870
BU00808102,310
BU00808103,6420
BU00808104,420
BU00808105,960
BU00808106,120
BU00808107,140
BU00808108,250
BU00808109,1200
BU00808110,400
BU00808111,735
BU00808112,195
BU00808113,100
BU00808114,100
BU00808115,780
BU00808116,1200
BU00808117,140
BU00808201,2955
BU00808202,400
BU00808203,120
BU00808204,160
BU00808205,425
BU00808206,17085
BU00808207,840
BU00808208,2600
BU00808209,180
BU00851001,885
BU00851002,295
BU00851003,360
BU00860501,1435
BU00860502,170
BU00860503,1645
BU00860504,705
BU00860505,960
BU00860506,1760
BU00860507,415
BU00860508,345
BU00860701,155
BU00860702,125
BU00860801,715
BU00860802,345
BU00861001,285
BU00861002,145
BU00861101,2410
BU00861102,1395
BU00861401,615
BU00861402,395
BU00861501,1065
BU00861502,1635
BU00900120,1730
BU00900121,1410
BU00900122,925
BU00900128,520
BU00900129,55
BU00900130,5010
BU00900131,1470
BU00900132,1050
BU00980001,10
BU00980002,65
BU00980004,1200
BU00980005,1010
BU00980006,2280
BU00980007,680
BU00980008,1130
BU00980009,1100
BU00980010,1660
BU00980011,3570
BU00980012,1960
BU00980013,1440
BU00980014,950
BU00980015,1280
BU00980016,1270
BU00980017,760
BU00980018,440
BU00980019,1130
BU00980020,1930
BU00980021,110
BU00980103,130
BU00980104,185
BU00980202,230
BU00980301,135
BU00980302,135
BU00980401,320
BU00980402,130
BU00980403,240
BU00980501,215
BU00980502,240
BU00980901,165
BU00980902,230
BU00980903,205
BU00981001,700
BU00981002,250
BU00981003,1000
BU00981004,425
BU00981005,2190
BU00981006,20
BU00981007,210
BU00981008,1110
BU00981009,900
BU00981101,250
BU00981102,640
BU00981201,345
BU00981401,205
BU00981402,300
BU00981501,1660
BU00981502,560
BU01069913,70
BU01091000,4460
BU01091001,2570
BU01091002,1230
BU01091003,3045
BU01091004,4150
BU01091006,350
BU01091007,1635
BU01091008,2510
BU01091009,140
BU01091010,20
BU01091011,230
BU01091012,120
BU01091013,20
BU01091014,145
BU01091015,1215
BU01091116,1190
BU01091117,620
BU01091218,190
BU01091219,10
BU01091320,170
BU01091421,110
BU01092022,6460
BU01092023,820
BU01092024,540
BU01092025,115
BU01092026,1170
BU01092027,250
BU01092028,320
BU01092029,50
BU01092031,150
BU01093032,3470
BU01093033,390
BU01093034,1650
BU01093035,285
BU01093036,250
BU01093037,435
BU01093038,1420
BU01093039,1300
BU01093068,110
BU01094042,55
BU01094043,505
BU01094044,210
BU01094045,90
BU01094046,110
BU01094047,2015
BU01094050,30
BU01094051,250
BU01094052,110
BU01094053,405
BU01094054,95
BU01094056,100
BU01094057,375
BU01095058,1320
BU01095059,6380
BU01095060,510
BU01095061,680
BU01095062,75
BU01095063,190
BU01095065,435
BU01095066,90
BU01095067,45
BU01140100,550
BU01140102,255
BU01140104,215
BU01140106,105
BU01140200,335
BU01140206,100
BU01140208,200
BU01140209,185
BU01140301,1770
BU01140302,415
BU01140303,475
BU01140304,70
BU01140400,2710
BU01140401,215
BU01140402,450
BU01140408,280
BU01140409,90
BU01140503,210
BU01140504,80
BU01140600,4290
BU01140601,90
BU01140608,205
BU01140609,280
BU01140700,3820
BU01140701,420
BU01140702,615
BU01140707,85
BU01140708,190
BU01140709,480
BU01140802,315
BU01140803,750
BU01140804,110
BU01140807,185
BU01140809,400
BU01140900,5590
BU01140901,210
BU01140909,180
BU01141000,3815
BU01141001,585
BU01141003,460
BU01141004,110
BU01141009,675
BU01141300,2120
BU01141308,10
BU01141309,15
BU01142100,795
BU01142101,430
BU01142109,70
BU01143200,2990
BU01143201,280
BU01143209,60
BU01144200,6055
BU01144400,7060
BU01144500,1165
BU01144600,8905
BU01144700,9185
BU01144800,2120
BU01144900,2145
BU01145000,3020
BU01145100,590
