dest_station_id,a_inw,share_30
394,647030,0.009082028842961625
395,38530,0.0005408258833737407
396,250795,0.0035202810127359795
397,229880,0.0032267078658176876
398,93980,0.001319149144029695
399,179265,0.0025162510247338076
400,418850,0.005879183006776311
401,178855,0.002510496064646
402,179050,0.0025132331798097137
403,28400,0.0003986362597408314
404,53610,0.0007524961227009145
405,65680,0.0009219165330907679
406,85225,0.0011962596914229704
407,187070,0.002625805813722441
408,215035,0.003018336201174989
409,66880,0.0009387603187136199
410,112090,0.0015733499420545701
411,131425,0.0018447454379027736
412,238770,0.003351492244306983
413,199915,0.002806104502327053
414,238790,0.003351772974067364
415,326960,0.004589370122706417
416,276840,0.0038858613431919636
417,83555,0.0011728187564311679
418,433760,0.006088467043140248
419,9125,0.00012808295317377066
420,236645,0.003321664707266516
421,57760,0.0008107475479799444
422,272615,0.0038265571813115053
423,289545,0.0040641949234739095
424,218115,0.0030615685842736422
425,313380,0.0043987546154078076
426,93425,0.0013113588931791258
427,290665,0.004079915790055238
428,303550,0.004260775938180612
429,142205,0.001996058778748061
430,233035,0.0032709929855177693
431,169660,0.0023814305573108966
432,75925,0.0010657203528458671
433,32400,0.00045478221181700484
434,232015,0.0032566757677383452
435,252385,0.0035425990286862582
436,68050,0.0009551830096959006
437,127540,0.00179021368194879
438,141640,0.0019881281630173015
439,310930,0.004364365219761151
440,173780,0.002439260887949355
441,261800,0.0036747525633855516
442,340205,0.004775283406518646
443,951125,0.013350454667112615
444,159175,0.0022342579804312266
445,776360,0.010897367838464503
446,162685,0.002283526053378069
447,117920,0.001655182667205593
448,54390,0.0007634445833557684
449,124980,0.0017542802726200392
450,194990,0.002736974798833265
451,72790,0.0010217159629061661
452,175755,0.0024669829517869656
453,148420,0.0020832955517864154
454,15850,0.00022247833510183725
455,118255,0.0016598848906919726
456,230040,0.0032289537039007343
457,17315,0.00024304179004973578
458,129310,0.0018150582657424968
459,958340,0.013451727928170013
460,923110,0.012957222455259116
461,879275,0.01234193300294435
462,837385,0.011753944519826623
464,52415,0.0007357225195181577
465,124040,0.0017410859738821382
466,793475,0.01113760233091043
467,285960,0.0040138741139256395
468,307940,0.004322396120584212
469,202710,0.002845336486340279
470,236290,0.003316681754019755
471,68455,0.0009608677873436132
472,53530,0.0007513732036593911
473,806745,0.011323866526923135
474,263010,0.003691736713888594
475,152950,0.002146880842512682
476,346395,0.0048621692673565245
477,178560,0.002506355300680382
478,192005,0.00269507588209642
479,62450,0.0008765786767892578
480,232490,0.0032633430995473904
481,334080,0.004689309917402006
482,287540,0.004036051764995728
483,329955,0.004631409404323452
484,250145,0.0035111572955236012
485,63560,0.000892159178490396
486,7445,0.00010450165330177781
487,27795,0.00039014418448931015
488,49620,0.0006964905355049315
489,125065,0.0017554733741016577
490,92595,0.0012997086081233198
491,127725,0.001792810432232313
492,116670,0.0016376370571817888
493,315590,0.004429775253929894
494,91355,0.001282303362979706
495,300705,0.0042208421297664335
496,294600,0.004135149370410173
497,228380,0.0032056531337891223
498,77155,0.0010829852331092904
499,415755,0.005835740076357372
500,657760,0.00923264035940596
501,535490,0.007516398969317529
502,557095,0.00781965729296896
503,520625,0.007307746574914449
504,255105,0.003580778276098056
505,19970,0.0002803086657402959
506,20230,0.00028395815262524714
507,19550,0.0002744133407722977
508,584855,0.008209310200377604
509,630845,0.008854848284373409
510,601875,0.008448211226461722
511,637165,0.008943558888653762
512,245015,0.0034391501119859086
513,216260,0.003035530898998317
514,205170,0.002879866246867126
515,87950,0.0012345091212748634
516,56095,0.0007873767954282373
517,231810,0.003253798287694441
518,65745,0.0009228289048120057
519,262345,0.00368240244935593
520,119105,0.0016718159055081592
521,76240,0.0010701418465718657
522,75735,0.0010630534201222488
523,477375,0.006700668468090824
524,100710,0.0014136147083978568
525,107605,0.0015103962932891608
526,377465,0.005298282950108202
527,252710,0.0035471608872924476
528,989285,0.01388608704991931
529,566575,0.007952723199389491
530,93335,0.001310095609257412
531,136345,0.0019138049589564668
532,51915,0.000728704275508636
533,269490,0.003782693156251995
534,103240,0.0014491270230860365
535,284865,0.003998504159544786
536,283795,0.00398348511736441
537,278365,0.003907266987421005
538,30425,0.0004270601479793942
539,84535,0.0011865745146898304
540,323605,0.004542277705402526
541,115650,0.0016233198394023645
542,294135,0.004128622403481319
543,122295,0.0017165923022889077
544,173630,0.0024371554147464983
545,57350,0.0008049925878921367
546,33955,0.00047660895068661727
547,47720,0.0006698212082687492
548,57075,0.0008011325536868997
549,128260,0.0018003199533225013
550,211665,0.002971033236550813
551,46730,0.0006559250851298962
552,12015,0.00016864840354880597
553,265360,0.0037247224607333458
554,242170,0.0033992163035717303
555,44325,0.0006221673314440969
556,61185,0.000858822519445168
557,247160,0.0034692583787867565
558,255095,0.0035806379112178657
559,86325,0.001211699828243918
560,236205,0.003315488652538137
561,91840,0.0012891110596689422
562,112460,0.0015785434426216162
563,101435,0.0014237911622116631
564,426305,0.005983825024958279
565,482230,0.006768815617423279
566,85595,0.0012014531919900164
567,85815,0.001204541219354206
568,85410,0.0011988564417064933
569,76695,0.0010765284486205305
570,196415,0.0027569767942604013
571,167645,0.002353147033952524
572,340825,0.004783986029090453
