dest_station_id,a_inw,share_30
176,59025,0.0008285037053240343
177,392330,0.005506935344511282
178,25765,0.0003616501138106522
179,254860,0.0035773393365333907
180,148460,0.002083857011307177
181,261695,0.003673278732143552
182,181130,0.0025424290748893236
183,309290,0.004341345379409921
184,307110,0.004310745835528406
185,980550,0.013763478327072967
186,1000980,0.014050243777302022
187,928880,0.013038212991128995
188,723825,0.01015996094038406
189,1011605,0.014199381462504358
190,947960,0.013306029182532344
191,50525,0.0007091935571621657
192,187400,0.0026304378547687256
193,43030,0.0006039900794594358
194,103390,0.001451232496288893
195,106980,0.0015016234882772586
196,301600,0.0042334047865434776
197,303160,0.0042553017078531844
198,89700,0.0012590729753081894
199,763285,0.01071384075761551
200,284365,0.003991485915535265
201,830960,0.01166376008430427
202,225775,0.0031690880824995146
203,217230,0.003049146292376789
204,227505,0.0031933712067724594
205,313400,0.004399035345168189
206,32700,0.00045899315822271785
207,437435,0.006140051136610232
208,110865,0.001556155244231242
209,89490,0.0012561253128241902
210,151770,0.0021303177866502107
211,177505,0.0024915468058202914
212,93960,0.0013188684142693141
213,23805,0.00033413859729332715
214,222830,0.0031277506252834317
215,105255,0.0014774105464444088
216,282570,0.003966290419541082
217,204690,0.0028731287326179853
218,449245,0.006305822060115134
219,107765,0.0015126421313722076
220,127995,0.0017966002839974549
221,314510,0.004414615846869327
222,243995,0.0034248328942064845
223,200850,0.002819228618624859
224,304030,0.004267513452429752
225,312225,0.004382542471745813
226,81710,0.001146921436036033
227,62250,0.0008737713791854492
228,145930,0.0020483446966189974
229,296820,0.00416631037381245
230,256265,0.0035970606022001465
231,187265,0.002628542928886155
232,365940,0.005136512425688727
233,100995,0.001417615107483284
234,53210,0.0007468815274932971
235,219115,0.0030756050722926856
236,498705,0.0070000667575370185
237,258250,0.0036249230309179474
238,606925,0.008519095490957891
239,213320,0.0029942636242223293
240,162145,0.0022759463498477853
241,32560,0.00045702804990005176
242,71905,0.0010092936710093129
243,133570,0.0018748537047036215
244,36475,0.0005119809004946065
245,868765,0.012194409513864204
246,73955,0.0010380684714483516
247,847380,0.011894239217576963
248,837545,0.01175619035790967
249,45515,0.0006388707521867586
250,124580,0.0017486656774124217
251,159370,0.0022369950955949403
252,915875,0.012855668464441337
253,36060,0.0005061557579667035
254,127720,0.0017927402497922179
255,137765,0.0019337367719435084
256,121815,0.001709854788039767
257,36245,0.0005087525082502265
258,76710,0.0010767389959408162
259,116150,0.0016303380834118862
260,336725,0.004726436428212375
261,312220,0.0043824722893057175
262,263760,0.0037022640799028767
263,278595,0.003910495379665385
264,258970,0.003635029302291659
265,110930,0.0015570676159524799
266,136680,0.0019185071824428463
267,296140,0.0041567655619595
268,434535,0.006099345321355006
269,37895,0.0005319127134816481
270,243395,0.0034164110013950584
271,879805,0.012349372341594443
272,75760,0.001063404332322725
273,413430,0.005803105241713096
274,42125,0.0005912870578022015
275,238655,0.003349878048184793
276,235975,0.0033122602602937566
