dest_station_id,potential
176,68700.20699080169
177,519301.8101427896
178,73064.86923399665
179,273510.6154503129
180,189002.4538445418
181,279100.63180725806
182,435131.5152773508
183,366273.84453438665
184,386882.588576278
185,876794.6323195368
186,867695.1042755767
187,821637.0367513291
188,731245.3510748056
189,881829.9304721906
190,857975.7409757175
191,71961.52355035677
192,235475.055942049
193,66541.56110975888
194,194600.44078362445
195,80296.4589227889
196,337498.18786230235
197,339853.3105944166
198,120349.64812556295
199,677320.0061923082
200,309424.3474471766
201,832999.5785847863
202,314919.1680107608
203,261828.826397676
204,316197.02238647116
205,393036.0937185399
206,68074.71953865264
207,558819.8378069475
208,243215.48344493782
209,216494.91065818208
210,125362.39351925829
211,188072.69550533546
212,157479.25328364322
213,63351.7131429201
214,309261.82388007705
215,127089.53317737854
216,296934.3918827781
217,294265.07017316273
218,475540.59922732634
219,236017.93752200846
220,134514.42078414516
221,431305.6943427754
222,393162.8411578049
223,209707.43455720134
224,475461.90213856957
225,481396.16855899343
226,107433.82013164302
227,114115.81338673436
228,250637.68835981228
229,309466.9523923062
230,283854.80418373185
231,386232.3069485112
232,641573.0785985187
233,148052.440151693
234,84468.27582190381
235,180152.66076632956
236,455037.6094565076
237,420438.6641367405
238,675475.0244908044
239,276054.31850418425
240,157603.40840815057
241,61360.4666233176
242,190843.59009530698
243,186628.99321642588
244,64999.75260542155
245,760552.4084953024
246,120581.26443535161
247,739698.7582630587
248,809988.5684738841
249,109028.66447572486
250,112979.31477199848
251,188322.75823895732
252,851474.7694094131
253,55019.08282377617
254,181005.3865400127
255,197108.7135106368
256,163344.756908261
257,57356.16376544754
258,172924.67689369898
259,144179.96294910627
260,433036.8127017652
261,414192.3139532147
262,379718.04497430346
263,369604.4732335986
264,372714.47926820593
265,142369.0349889898
266,180157.81224154503
267,353704.3104897335
268,616809.7980552597
269,70821.21826177463
270,236917.68452890843
271,766559.3399286417
272,123237.4511112642
273,408505.1245950618
274,86125.36681545267
275,285179.075321725
276,280441.81401755527
277,15554.483604045237
278,419367.81427945103
279,314511.0142150561
280,95197.68637231446
281,82882.92780479087
282,233101.22489454108
283,165358.36253906137
284,185805.92355571382
285,225976.7799984818
286,98921.27140147323
287,237607.36573767813
288,233096.4083129565
289,317811.45890695654
290,343325.17091740156
291,235314.781125536
292,100833.17109604082
293,632369.0420087599
294,64714.62293262356
295,229859.15815835018
296,173479.01579133622
297,813176.2337150462
298,220318.7464401633
299,257967.22582851056
300,113545.52664136914
301,313677.34574514243
302,173984.26901920815
303,322824.6382648858
304,209442.37411001985
305,206889.97755430694
306,286716.78063698875
307,75808.9701933491
308,130068.5935963572
309,208195.69929771536
310,390589.85953104333
311,436501.91193637956
312,68087.85685733659
313,161993.81362159073
314,256807.02179370218
315,258398.77207051992
316,69030.54062269963
317,87178.70268294564
318,538538.5455406972
319,796407.3240188811
320,926608.6025029651
321,894675.519051884
322,851671.2592718157
323,478874.6688539325
324,109766.88188493485
325,79954.80110229872
326,159255.20655868572
327,234524.26564307688
328,46098.113380668554
329,207807.90791474486
330,42963.2161457036
331,250009.53660752947
332,299728.4299170127
334,473359.9736450557
335,71171.22066240375
336,88934.83032805684
337,248879.47561381524
338,227753.01663449252
339,240018.5595619823
340,253424.8657047647
341,120615.82292267124
342,63752.52051953874
343,228525.28890548547
344,281851.9755504119
345,192678.2020242888
346,228557.00455474987
347,316032.3681019219
348,305581.09865688154
349,308921.0460231664
350,426955.44496320747
351,21658.17688426816
352,394510.1253086125
353,232774.25338145322
354,427478.51265381445
355,129010.3279006106
356,343093.09599186794
357,90152.11340857284
358,122862.61768680664
359,478443.924821525
360,127531.37788563287
361,351000.12461051677
362,171324.90939581237
363,192956.94825188306
364,181253.21190540522
365,117371.47429603575
366,403747.61408374726
367,189913.485976158
368,129508.1621409007
369,69772.78112569175
370,149239.18248133725
371,218561.22796270743
372,125640.52789798654
373,172022.02940331338
374,182539.11953148624
375,404365.8999872799
376,394366.4064806379
377,18930.576037683168
378,43319.31429381959
379,351652.4485581619
380,142051.50046867505
381,53479.96356731817
382,860388.9637559908
383,856832.2078136698
384,205138.65793410447
385,613557.3841005985
386,178299.4074150361
387,141618.49959744082
388,112640.93287223038
389,136560.50246571194
390,577392.5817892961
391,122977.63183837954
392,85750.66780708847
393,104799.27489864152
394,589317.637174265
395,69290.49241757336
396,225262.02122440605
397,255421.6045889555
398,88373.73644946048
399,289109.7150859759
400,471300.29859566246
401,188665.9018126558
402,187029.1177023858
403,76661.58209393325
404,84585.27732423763
405,131246.09914729666
406,133011.7237356723
407,212215.6624871724
408,194412.2690008322
409,95453.63423350677
410,98799.57819560758
411,247055.22432155188
412,223260.12762052644
413,197033.8732597248
414,356485.5699312187
415,333113.9127575056
416,414414.22311028605
417,75088.65796458063
418,584524.1760194264
419,21532.256819291008
420,418983.57698060264
421,111840.8521573343
422,226551.36253863238
423,310020.24411021144
424,257422.45163090606
425,331168.1033408101
426,140434.13980844952
427,314378.07950259635
428,331294.9438745792
429,185264.85721820686
430,278821.77182610554
431,160586.73089760492
432,121045.39904386053
433,89363.76812530092
434,262456.9181363858
435,310755.10819536523
436,194166.73607846667
437,220635.76082567158
438,229076.7964396982
439,351407.98150111624
440,180961.22124654814
441,352541.2821644298
442,442242.3958050938
443,923939.5284723439
444,315513.4049734424
445,768557.7227576876
446,317062.61793527403
447,178942.4474648276
448,121403.59046101832
449,191073.6172151934
450,246784.36851234402
451,105690.91867566109
452,211772.28255750763
453,188752.01277451112
454,45132.97230218128
455,132932.89521611406
456,286288.7106229518
457,34282.73694782441
458,159116.45141958244
459,917867.591005617
460,881338.0460792022
461,838847.7497238055
462,859644.7187869672
464,97376.89723172461
465,156242.46534182766
466,776096.5800717798
467,394455.4871252903
468,421192.20777108445
469,146027.56117583864
470,209812.52856974117
471,109018.850908789
472,76289.1379569512
473,841116.1446819616
474,226364.80977239183
475,167599.24117201744
476,474057.63252538344
477,191526.2722565908
478,293842.57445788494
479,82391.43375442066
480,346523.69810810086
481,392889.06540057814
482,443031.51054891886
483,403979.70145404007
484,219319.19516804957
485,84091.63900971612
486,13501.477179823476
487,78108.55899650184
488,77856.33615398666
489,142386.6472722576
490,107430.40876784803
491,128748.22104698373
492,111740.55463940144
493,344726.78721244447
494,180323.16225495632
495,342629.8216680815
496,308766.41757834953
497,202785.6392071096
498,169560.7002621122
499,483432.4596882904
500,603518.2788317173
501,571121.6260414504
502,590574.1608585697
503,538072.2349577248
504,330810.5631672034
505,42622.13724546831
506,38974.520282419086
507,47614.81562597577
508,571966.1363197215
509,605878.4651568314
510,543248.503071582
511,588894.7656607202
512,283223.2860578424
513,277793.7618763855
514,192821.31594917408
515,87349.05484666361
516,94714.12690230517
517,289750.12555807416
518,94473.12889640352
519,276301.1616448884
520,134629.76364193135
521,103780.67993978095
522,95006.35084495539
523,472563.2621229
524,85972.68475325996
525,98485.74229186072
526,451244.4736274819
527,222472.89793852274
528,905581.5589184872
529,648162.9980755026
530,120264.54473944887
531,149314.18545111892
532,108601.39310217672
533,302229.48816616583
534,157449.91325107266
535,475996.5493740077
536,494590.941537047
537,501175.5198261632
538,53478.422257538834
539,125172.14161931987
540,492507.0670569654
541,149361.1825185256
542,294040.76674744685
543,146715.8502102367
544,172918.82954005006
545,73882.03043158728
546,94857.16741369592
547,63702.75610836141
548,66561.79744938857
549,334537.6054958681
550,251182.2479648309
551,65241.059680582795
552,28519.164633312987
553,361783.604333224
554,261267.64866074547
555,114862.00147901884
556,70924.45737509313
557,380828.69381894823
558,419425.1551598135
559,183360.46604969027
560,294620.1731592118
561,224343.46562901212
562,189575.8403606963
563,203427.18805870935
564,695746.0157575336
565,720000.9862922867
566,101333.5839852046
567,126466.19681115425
568,159165.09855985796
569,89720.24922904951
570,186674.77563312944
571,195509.92861809736
572,459374.78405800863
