bu_code,potential
BU00140000,30418.957438374495
BU00140001,45061.346284166866
BU00140002,28448.20784967359
BU00140003,11462.788898871662
BU00140004,67.56716827982052
BU00140005,40545.80398511237
BU00140007,0.0
BU00140008,2894.290386373249
BU00140100,11886.863676695199
BU00140101,33755.38094056603
BU00140102,10656.420192767398
BU00140103,30208.218293558526
BU00140104,14876.844830702921
BU00140105,5864.178507405331
BU00140106,24328.697014168567
BU00140107,7890.794664347568
BU00140108,85.40005795721024
BU00140109,31.31622418873761
BU00140110,1350.070893126976
BU00140200,17267.00111808733
BU00140201,26276.30702568989
BU00140202,36932.34885416716
BU00140203,14866.322161620385
BU00140300,27685.4285613358
BU00140301,56314.922202633636
BU00140302,41149.6529060615
BU00140400,32179.295785894476
BU00140401,19387.544224896817
BU00140402,19000.846442165162
BU00140403,9832.677442743816
BU00140404,5850.421575566474
BU00140500,6335.707612342123
BU00140501,8944.650103165459
BU00140502,1129.1512324600455
BU00140503,4757.867362947383
BU00140504,851.2152072200086
BU00140505,388.55605763962296
BU00140506,184.41055628738198
BU00140507,356.2192126364468
BU00140508,938.5683395930524
BU00140509,0.0
BU00140510,156.1267429551056
BU00140511,31.504607251643648
BU00140600,5422.234026397921
BU00140601,19995.045298100657
BU00140602,3989.8971237201968
BU00140603,6164.136854944485
BU00140604,39754.6739297094
BU00140605,28982.841281305162
BU00140606,20910.740872064696
BU00140700,27446.351220758854
BU00140701,24628.340504229138
BU00140702,4009.286380757943
BU00140703,282.65418328600276
BU00140704,6260.433284719982
BU00140705,188.55915553852054
BU00140800,8948.439591249427
BU00140801,26043.21151817206
BU00140802,19.663184332085727
BU00140803,402.58567606151746
BU00140804,186.17880451731511
BU00140805,318.17470393436184
BU00140806,11403.9709834028
BU00140809,1289.287477020481
BU00140810,8642.59480455598
BU00140811,25.840608878956623
BU00140812,1785.3581757367508
BU00140900,34807.11805091118
BU00140901,29167.65585696893
BU00140902,652.5259346931252
BU00140903,5268.150068383869
BU00140904,25318.252536384938
BU00140905,433.03635733799047
BU00140906,13689.377267096452
BU00140907,563.2537893486399
BU00140908,1730.778977729811
BU00140909,86.60674029588813
BU00141000,42402.505745092254
BU00141001,34039.486200147454
BU00141002,39418.2672992115
BU00141003,27.7195741221102
BU00141004,56.45782520425769
